date,released
'2018-03-12',0
'2018-03-29',0
'2018-04-17',1
'2018-04-18',1
'2018-04-24',1
'2018-05-15',1
'2018-05-22',1
'2018-06-03',1
'2018-07-11',1
'2018-07-11',1
'2018-07-18',2
'2018-08-20',3
'2018-09-26',3
'2018-10-02',3
'2018-10-04',3
'2018-10-05',3
'2018-10-17',4
'2018-10-19',4
'2018-10-24',4
'2018-11-05',4
'2018-11-15',4
'2018-11-16',4
'2018-11-19',5
'2018-11-27',6
'2018-11-28',6
'2018-12-04',6
'2018-12-13',7
'2019-01-31',7
'2019-02-14',8
'2019-04-08',8
'2019-04-09',9
'2019-04-09',9
'2019-04-10',9
'2019-04-16',10
'2019-04-16',11
'2019-04-23',11
'2019-04-29',12
'2019-04-30',12
'2019-05-06',13
'2019-05-06',14
'2019-05-28',14
'2019-06-06',15
'2019-06-09',15
'2019-06-20',15
'2019-07-19',15
'2019-07-22',15
'2019-07-23',15
'2019-08-01',15
'2019-09-09',15
'2019-09-21',16
'2019-10-08',17
'2019-11-08',17
'2019-12-05',18
'2019-12-09',19
'2019-12-12',20
'2019-12-21',21
'2020-01-07',21
'2020-02-03',21
'2020-03-05',22
'2020-03-05',22
'2020-03-26',22
'2020-03-30',22
'2020-05-14',23
'2020-05-29',24
'2020-06-01',25
'2020-07-13',25
'2020-08-03',25
'2020-09-10',26
'2020-10-16',27
'2020-10-19',28
'2020-11-04',28
'2020-11-08',28
'2020-11-13',29
'2020-11-19',29
'2020-12-09',29
'2021-01-14',29
'2021-01-19',29
'2021-02-10',29
'2021-02-14',30
'2021-04-27',31
'2021-04-27',32
'2021-05-08',33
'2021-05-12',33
'2021-06-03',33
'2021-06-08',34
'2021-06-18',35
'2021-06-21',35
'2021-08-12',35
'2021-08-12',35
'2021-10-19',35
'2021-11-02',35
'2021-11-06',36
'2021-12-09',36
'2021-12-13',36
'2021-12-13',36
'2021-12-20',36
'2022-01-10',36
'2022-02-01',36
'2022-02-18',36
'2022-02-23',36
'2022-03-03',36
'2022-03-24',36
'2022-04-01',36
'2022-04-12',36
'2022-05-02',37
'2022-05-03',38
'2022-05-25',39
'2022-06-01',40
'2022-06-03',40
'2022-06-20',41
'2022-06-28',42
'2022-06-30',42
'2022-07-14',42
'2022-08-09',42
'2022-08-12',42
'2022-08-22',42
'2022-09-10',42
'2022-10-06',43
'2022-10-12',43
'2022-10-24',44
'2022-10-27',44
'2022-11-11',44
'2022-12-24',44
'2023-01-24',45
'2023-02-02',46
'2023-02-10',47
'2023-02-15',48
'2023-02-15',49
'2023-03-13',50
'2023-03-27',50
'2023-03-29',51
